# ==================================================================
# Fastrad - RAY-TRACING - TID
# 
# TOTAL IONIZING DOSE CALCULATION RESULTS			 2018/12/03	18:19:14
# 
# Doses in krad (Si)
#
# Method : Slant Path
#
# ==================================================================
#
# Dose calculation with Solid Sphere Dose Curve
#
# Common Format (Total dose) :  [ mm , rad ]
# Electrons : C:\Users\Gebruiker\Documents\MSc Space Engineering\Thesis\SPENVIS orbit output\SAPPHIRE as input\Solar Maximum\1-in-n-year SPE\n=100\SolarMaximum_SPE_1_in_100_years_Sapphire_dosedepth.dat
#
#
#  N°  |   Total Dose |   Name   |
#      |    krad (Si) |          |
 00446 |  1.331e+002  | Detector |
 00447 |  1.343e+002  | Detector |
 00448 |  1.347e+002  | Detector |
 00449 |  1.350e+002  | Detector |
 00450 |  1.349e+002  | Detector |
 00451 |  1.352e+002  | Detector |
 00452 |  1.351e+002  | Detector |
 00453 |  1.350e+002  | Detector |
 00454 |  1.347e+002  | Detector |
 00455 |  1.348e+002  | Detector |
 00456 |  1.343e+002  | Detector |
 00457 |  1.337e+002  | Detector |
 00458 |  1.326e+002  | Detector |
 00459 |  1.303e+002  | Detector |
 00460 |  1.205e+002  | Detector |
 00461 |  8.961e+001  | Detector |
 00462 |  9.172e+001  | Detector |
 00463 |  9.419e-001  | Detector |
 00464 |  8.968e+001  | Detector |
 00465 |  7.758e+001  | Detector |
 00466 |  1.037e+002  | Detector |
 00467 |  1.086e+002  | Detector |
 00468 |  1.101e+002  | Detector |
 00469 |  1.108e+002  | Detector |
 00470 |  1.108e+002  | Detector |
 00471 |  1.110e+002  | Detector |
 00472 |  1.114e+002  | Detector |
 00473 |  1.112e+002  | Detector |
 00474 |  1.113e+002  | Detector |
 00475 |  1.107e+002  | Detector |
 00476 |  1.106e+002  | Detector |
 00477 |  1.101e+002  | Detector |
 00478 |  1.092e+002  | Detector |
 00479 |  1.076e+002  | Detector |
 00480 |  1.028e+002  | Detector |
 00481 |  7.775e+001  | Detector |
 00482 |  8.418e-001  | Detector |
 00483 |  7.680e-001  | Detector |
 00484 |  7.768e+001  | Detector |
 00485 |  1.204e+002  | Detector |
 00486 |  9.131e+001  | Detector |
 00487 |  9.841e+001  | Detector |
 00488 |  1.003e+002  | Detector |
 00489 |  1.014e+002  | Detector |
 00490 |  1.015e+002  | Detector |
 00491 |  1.016e+002  | Detector |
 00492 |  1.014e+002  | Detector |
 00493 |  1.016e+002  | Detector |
 00494 |  1.016e+002  | Detector |
 00495 |  1.015e+002  | Detector |
 00496 |  1.011e+002  | Detector |
 00497 |  1.012e+002  | Detector |
 00498 |  1.006e+002  | Detector |
 00499 |  9.977e+001  | Detector |
 00500 |  9.825e+001  | Detector |
 00501 |  9.534e+001  | Detector |
 00502 |  8.617e+001  | Detector |
